94.29, 0.004965
150.9, 0.004965
207.4, 0.005007
245.1, 0.002378
276.6, 0.01235
333.1, 0.007302
358.3, 0.009805
396.0, 0.01227
440.0, 0.005007
471.4, 0.01231
509.1, 0.01485
578.3, 0.01723
622.3, 0.01490
553.1, 0.009847
666.3, 0.009889
710.3, 0.01235
748.0, 0.01235
773.1, 0.01235
817.1, 0.007302
861.1, 0.01982
886.3, 0.009930
911.4, 0.01727
955.4, 0.02458
999.4, 0.01982
1037, 0.007344
1081, 0.02228
1106, 0.007218
1144, 0.007260
1194, 0.01485
1232, 0.02474
1263, 0.01723
1295, 0.01477
1345, 0.02962
1377, 0.007260
1395, 0.01481
1439, 0.01481
1483, 0.005049
1527, 0.01736
1578, 0.009847
1609, 0.002462
1678, 0.01978
1716, 0.01231
1747, 0.01727
1798, 0.01727
1842, 0.005007
1867, 0.01974
1898, 0.01231
1936, 0.01231
1980, 0.01965
2024, 0.01719
2062, 0.004965
2087, 0.01490
2137, 0.01235
2169, 0.007385
2206, 0.009889
2244, 0.01235
2275, 0.01239
2307, 0.009764
2357, 0.01465
2395, 0.002462
2439, 0.002337
2470, 0.01231
2521, 0.004840
2546, 0.01218
2590, 0.004882
2615, 0.01239
2659, 0.009847
2690, 0.002420
2734, 0.004924
2778, 0.002337
2803, 0.01227
2854, 0.004965
2891, 0.007552
2923, 0.007135
2935, 0.009722
2998, 0.01494
3030, 0.004924
3105, 0.004924
3149, 0.004924
3206, 0.004924
3225, 0.004882
3313, 0.004840
3344, 0.002337
3382, 0.01001
3445, 0.002420
3482, 0.007427
3539, 0.007427
3564, 0.004924
3639, 0.004924
3683, 0.002503
3709, 0.005132
3759, 0.007260
3771, 0.002420
3822, 0.002295
3859, 0.004965
3903, 0.002295
3960, 0.000
3998, 0.0001252
4048, 0.002462
4086, 0.00004172
4123, 0.002420
4161, 0.007302
4205, 0.002337
4237, 0.00008345
4287, 0.002503
4312, 0.002378
4400, 0.004924
